4	LEI	STO(a)	3
8	LEI	NEW(a)	0
6	LEI	CRY(a)	0
9	LEI	SWA(a)	0
11	LEI	SOU(a)	0
5	LIV	WHU(a)	0
14	LIV	LEI(a)	3
12	LIV	CRY(a)	0
8	LIV	QPR(a)	3
2	LIV	MCI(a)	0
10	LIV	NEW(a)	0
3	LIV	TOT(a)	3
4	MCI	ARS(a)	1
13	MCI	SOU(a)	3
6	MCI	HUL(a)	3
9	MCI	WHU(a)	0
11	MCI	QPR(a)	1
7	MCI	AVL(a)	3
1	MCI	NEW(a)	3
5	MUN	LEI(a)	0
10	MUN	MCI(a)	0
3	MUN	BUR(a)	1
12	MUN	ARS(a)	3
8	MUN	WBA(a)	1
2	MUN	SUN(a)	1
6	NEW	STO(a)	0
4	NEW	SOU(a)	0
9	NEW	TOT(a)	3
7	NEW	SWA(a)	1
14	NEW	BUR(a)	1
13	NEW	WHU(a)	0
11	NEW	WBA(a)	3
2	NEW	AVL(a)	1
10	QPR	CHE(a)	0
12	QPR	NEW(a)	0
14	QPR	SWA(a)	0
4	QPR	MUN(a)	0
6	QPR	SOU(a)	0
7	QPR	WHU(a)	0
2	QPR	TOT(a)	0
5	SOU	SWA(a)	3
3	SOU	WHU(a)	3
10	SOU	HUL(a)	3
7	SOU	TOT(a)	0
1	SOU	LIV(a)	0
12	SOU	AVL(a)	1
8	TOT	MCI(a)	0
12	TOT	HUL(a)	3
10	TOT	AVL(a)	3
4	TOT	SUN(a)	1
1	TOT	WHU(a)	3
6	TOT	ARS(a)	1
2	STO	HUL(a)	1
5	STO	QPR(a)	1
7	STO	SUN(a)	0
9	STO	SOU(a)	0
3	STO	MCI(a)	3
11	STO	TOT(a)	3
13	STO	LIV(a)	0
14	STO	MUN(a)	0
10	SUN	CRY(a)	3
5	SUN	BUR(a)	1
8	SUN	SOU(a)	0
3	SUN	QPR(a)	0
12	SUN	LEI(a)	1
1	SUN	WBA(a)	1
1	SWA	MUN(a)	3
6	SWA	SUN(a)	1
12	SWA	MCI(a)	0
8	SWA	STO(a)	0
10	SWA	EVE(a)	1
4	SWA	CHE(a)	0
5	WBA	TOT(a)	3
7	WBA	LIV(a)	0
10	WBA	LEI(a)	3
12	WBA	CHE(a)	0
2	WBA	SOU(a)	1
3	WBA	SWA(a)	0
12	WHU	EVE(a)	0
2	WHU	CRY(a)	3
10	WHU	STO(a)	1
8	WHU	BUR(a)	3
14	WHU	WBA(a)	3
4	WHU	HUL(a)	1
6	WHU	MUN(a)	0
